2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2001-01-02,2002-01-02,2003-01-02,2004-01-02,2005-01-02,2006-01-02,2001-01-03,2002-01-03,2003-01-03,2004-01-03,2005-01-03,2006-01-03,2001-01-04,2002-01-04,2003-01-04,2004-01-04,2005-01-04,2006-01-04,2001-01-05,2002-01-05,2003-01-05,2004-01-05,2005-01-05,2006-01-05,2007-01-05,2001-01-06,2002-01-06,2003-01-06,2004-01-06,2005-01-06,2006-01-06,2001-01-07,2002-01-07,2003-01-07,2004-01-07,2005-01-07,2006-01-07,2001-01-08,2002-01-08,2003-01-08,2004-01-08,2005-01-08,2006-01-08,2001-01-09,2002-01-09,2003-01-09,2004-01-09,2005-01-09,2006-01-09,2001-01-10,2002-01-10,2003-01-10,2004-01-10,2005-01-10,2006-01-10,2007-01-10,2001-01-11,2002-01-11,2003-01-11,2004-01-11,2005-01-11,2006-01-11,2001-01-12,2002-01-12,2003-01-12,2004-01-12,2005-01-12,2006-01-12,2001-01-13,2002-01-13,2003-01-13,2004-01-13,2005-01-13,2006-01-13,2001-01-14,2002-01-14,2003-01-14,2004-01-14,2005-01-14,2006-01-14,2001-01-15,2002-01-15,2003-01-15,2004-01-15,2005-01-15,2006-01-15,2001-01-16,2002-01-16,2003-01-16,2004-01-16,2005-01-16,2006-01-16,2001-01-17,2002-01-17,2003-01-17,2004-01-17,2005-01-17,2006-01-17,2007-01-17,2001-01-18,2002-01-18,2003-01-18,2004-01-18,2005-01-18,2006-01-18,2001-01-19,2002-01-19,2003-01-19,2004-01-19,2005-01-19,2006-01-19,2001-01-20,2002-01-20,2003-01-20,2004-01-20,2005-01-20,2006-01-20,2001-02-01,2002-02-01,2003-02-01,2004-02-01,2005-02-01,2006-02-01,2001-02-02,2002-02-02,2003-02-02,2004-02-02,2005-02-02,2006-02-02,2001-02-03,2002-02-03,2003-02-03,2004-02-03,2005-02-03,2006-02-03,2001-02-04,2002-02-04,2003-02-04,2004-02-04,2005-02-04,2006-02-04,2001-02-05,2002-02-05,2003-02-05,2004-02-05,2005-02-05,2006-02-05,2001-02-06,2002-02-06,2003-02-06,2004-02-06,2005-02-06,2006-02-06,2001-02-07,2002-02-07,2003-02-07,2004-02-07,2005-02-07,2006-02-07,2007-02-07,2001-02-08,2002-02-08,2003-02-08,2004-02-08,2005-02-08,2006-02-08,2001-02-09,2002-02-09,2003-02-09,2004-02-09,2005-02-09,2006-02-09,2001-02-10,2002-02-10,2003-02-10,2004-02-10,2005-02-10,2006-02-10,2001-02-11,2002-02-11,2003-02-11,2004-02-11,2005-02-11,2006-02-11,2001-02-12,2002-02-12,2003-02-12,2004-02-12,2005-02-12,2006-02-12,2001-02-13,2002-02-13,2003-02-13,2004-02-13,2005-02-13,2006-02-13,2001-02-14,2002-02-14,2003-02-14,2004-02-14,2005-02-14,2006-02-14,2001-02-15,2002-02-15,2003-02-15,2004-02-15,2005-02-15,2006-02-15,2001-02-16,2002-02-16,2003-02-16,2004-02-16,2005-02-16,2006-02-16,2001-02-17,2002-02-17,2003-02-17,2004-02-17,2005-02-17,2006-02-17,2001-02-18,2002-02-18,2003-02-18,2004-02-18,2005-02-18,2006-02-18,2001-02-19,2002-02-19,2003-02-19,2004-02-19,2005-02-19,2006-02-19,2001-02-20,2002-02-20
1,0,6,0,0,0,0,2,0,0,0,0,0,4,1,3,4,1,0,0,0,1,1,1,4,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,4,0,4,0,4,0,1,4,6,1,1,2,0,1,6,4,0,0,0,1,0,4,1,1,1,0,2,1,1,0,1,1,1,1,2,2,4,1,2,1,1,1,2,4,0,1,0,2,0,2,1,1,1,1,0,1,0,4,2,0,4,1,1,2,1,4,2,0,1,1,0,2,6,1,1,1,2,0,2,1,1,0,1,0,0,1,0,0,0,6,6,0,2,0,0,1,6,0,0,4,6,4,2,0,4,0,4,0,1,4,1,4,6,4,4,0,0,0,2,0,0,0,1,1,1,0,0,1,1,0,1,1,6,1,0,1,1,1,4,0,0,6,6,0,0,1,1,0,1,0,0,0,4,0,1,1,1,1,0,1,0,4,1,1,1,1,1,6,2,4,0,0,1,0,1,4,0,1,0,0,0,1,0,4,1,0,1,0,0,0,1,1,1,0,0,4
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0,350,119,0,0,180,48,0,138,0,119,123,335,241,46,14,297,129,0,224,234,258,121,224,0,204,0,265,204,0,170,234,208,252,275,134,158,119,287,130,34,127,158,233,117,316,175,59,230,121,208,345,283,344,231,0,134,142,344,158,0,229,147,145,168,342,42,204,253,276,153,258,0,141,249,25,254,91,337,18,25,63,58,107,277,66,15,181,245,212,282,252,335,89,218,228,157,0,284,333,145,158,191,33,86,87,106,110,212,221,0,209,329,0,180,28,43,26,130,223,0,298,143,233,227,122,151,0,219,0,152,0,100,27,122,325,131,136,324,242,0,241,319,316,109,317,164,79,206,333,114,248,227,76,18,225,38,356,162,139,0,51,121,120,231,273,127,247,159,0,145,223,170,58,341,223,38,172,43,287,242,17,0,0,245,14,0,191,218,335,0,241,164,127,215,167,0,154,265,243,232,115,120,171,347,157,217,244,312,221,352,326,12,242,143,159,0,332,213,0,320,162,121,141,230,122,279,305,198,304,329,0,0,124,323,60,0,296,352
33,0,132,153,0,0,122,217,0,127,0,140,185,89,142,253,194,217,151,0,126,235,186,38,10,0,244,0,43,244,0,102,201,247,189,217,224,194,153,195,316,181,311,116,349,187,302,198,325,205,131,353,255,226,180,320,0,313,355,242,238,0,219,184,128,6,184,126,333,158,308,108,315,0,107,322,206,219,42,226,226,195,240,112,112,144,110,230,199,213,120,309,147,223,299,243,199,91,0,68,220,7,331,202,281,192,108,158,175,355,315,0,113,193,0,218,276,208,183,316,312,0,284,20,248,194,188,189,0,106,0,194,0,340,268,182,126,179,174,122,350,0,193,75,308,342,196,202,329,183,279,177,123,10,65,247,354,77,182,144,134,0,246,192,191,197,281,40,311,196,0,29,114,195,161,211,356,128,200,231,147,324,121,0,0,352,218,0,150,326,204,0,29,200,200,197,4,0,105,297,325,326,199,128,194,130,336,324,194,211,182,212,130,193,208,144,258,0,182,10,0,177,191,176,198,322,148,328,253,172,111,121,0,0,32,183,87,0,75,218
1,0,2,7,0,0,8,6,0,7,0,7,6,2,2,6,6,3,7,0,2,4,3,8,1,0,4,0,1,4,0,8,3,4,3,3,5,5,7,3,5,6,5,8,4,6,4,5,5,3,7,4,3,3,3,4,0,5,5,3,5,0,4,6,8,8,3,7,4,2,4,8,4,0,8,4,6,3,8,3,6,6,6,7,7,2,7,6,4,3,1,4,2,3,5,4,3,8,0,2,3,8,5,4,6,6,7,7,6,4,4,0,1,3,0,4,6,6,6,5,4,0,4,8,4,3,6,6,0,1,0,5,0,5,6,6,2,6,6,2,4,0,3,2,4,5,3,5,5,3,3,6,2,1,7,6,4,7,3,8,7,0,6,6,6,3,4,8,4,5,0,8,1,5,7,3,4,7,5,6,2,4,7,0,0,4,6,0,1,4,3,0,1,5,6,3,8,0,8,4,4,4,6,7,5,2,5,4,3,3,3,3,2,6,3,7,5,0,3,1,0,3,5,6,6,4,7,4,3,3,2,2,0,0,8,3,7,0,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z,2016-10-06T18:06:41.000Z
50416,6354,6354,6354,6354,6354,50416,50416,50416,50416,50416,50416,6354,6354,6354,50416,6354,6354,6354,6354,6354,50416,6354,50416,50416,50416,46933,46933,46933,46933,46933,6354,53649,53649,53649,46933,53649,46933,46933,46933,53649,46933,53649,53649,46933,46933,46933,46933,46933,53649,53649,46933,46933,46933,53649,53649,53649,53649,46933,46933,46933,53891,53649,53649,53891,53649,53649,53891,53891,53649,53649,53649,53891,53649,53891,53649,53891,53649,53891,53891,53649,53649,53891,53891,53649,53891,53891,53891,53891,53891,53649,53649,53891,53891,53891,53649,53891,53649,53649,53649,53891,53649,53649,53649,53649,48148,53649,48148,48148,53649,53649,48148,48148,53649,48148,48148,48148,53649,48148,53649,48148,48148,48148,45554,7568,45554,45554,7568,7568,45554,7568,7568,7568,7568,7568,45554,45554,45554,45554,45554,7568,45554,45554,7568,7568,7568,7568,45554,45554,45554,45554,45554,45554,45554,45554,7568,7568,7568,7568,45554,10238,10238,10238,10238,10238,10238,7568,10238,7568,10238,10238,10238,10238,7568,7568,10238,7568,7568,7568,7568,10238,7568,10238,10238,7568,7568,7568,7568,7568,45257,45257,10238,10238,45257,45257,45257,10238,10238,10238,45257,10238,45257,45257,45257,10238,10238,10238,45257,45257,10238,45257,10238,10238,10238,45257,10238,10238,49040,49040,10238,49040,49040,10238,10238,51012,51012,51012,51012,51012,49040,49040,51012,47111,47111,47111,49040,47111,49040,47111,49040
64443,64443,64443,64443,64443,64443,59339,59339,59339,59339,59339,59339,51012,51012,51012,51012,51012,51012,59339,59339,59339,59339,59339,59339,64443,64443,64443,64443,64443,64443,64443,59339,59339,59339,59339,59339,59339,53434,53434,53434,53434,53434,53434,59339,59339,59339,59339,59339,59339,53434,53434,53434,53434,53434,53434,51012,51012,51012,51012,51012,51012,51012,53434,53434,53434,53434,53434,53434,45257,45257,45257,45257,45257,45257,44829,44829,44829,44829,44829,44829,45257,45257,45257,45257,45257,45257,44829,44829,44829,44829,44829,44829,51012,51012,51012,51012,51012,51012,64443,64443,64443,64443,64443,64443,64443,45257,45257,45257,45257,45257,45257,51012,51012,51012,51012,51012,51012,64443,64443,64443,64443,64443,64443,52222,52222,52222,52222,52222,52222,67296,67296,67296,67296,67296,67296,52222,52222,52222,52222,52222,52222,67296,67296,67296,67296,67296,67296,48777,48777,48777,48777,48777,48777,50121,50121,50121,50121,50121,50121,19422,19422,19422,19422,19422,19422,19422,50121,50121,50121,50121,50121,50121,19422,19422,19422,19422,19422,19422,67296,67296,67296,67296,67296,67296,19422,19422,19422,19422,19422,19422,67296,67296,67296,67296,67296,67296,48148,48148,48148,48148,48148,48148,48777,48777,48777,48777,48777,48777,52222,52222,52222,52222,52222,52222,50121,50121,50121,50121,50121,50121,19422,19422,19422,19422,19422,19422,50121,50121,50121,50121,50121,50121,52222,52222,52222,52222,52222,52222,48777,48777
,,,,,,,,,,,,,,,,,,,,,,,,,50416,,,,,,6354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7568,,,,,,,,,,,,,,,,,,,,,,,,,,45257,,,,,,,,,10238,,,,,,,,51012,,,,,,,47111,
